stock_code,cap,close,listdays,surplus_sum,np_parcomsh_chg,profi_style,ipo_lessoneyear,is_div_stock
002304.SZ,1080000000.0,125.0,707.0,11.378406600416668,0.6557653224738373,1,0,0
002308.SZ,641400000.0,10.69,692.0,1.9751232849547864,0.2898564370532371,0,0,0
002310.SZ,301351296.0,59.23,692.0,6.890008843200727,0.2081185017423728,1,0,1
002311.SZ,757120000.0,16.4,692.0,2.8139784983225904,0.31948708013904,1,0,0
002312.SZ,185919500.0,11.82,688.0,3.0147267831507714,0.204070419269318,0,0,1
002313.SZ,240000000.0,21.65,688.0,7.030822923750001,0.33677738450775735,0,0,0
002317.SZ,180000000.0,30.3,682.0,7.5404985705,0.15249782752513633,0,0,1
002318.SZ,312000000.0,12.7,682.0,4.031965840608974,0.3484869081125225,0,0,0
002322.SZ,140660000.0,17.0,677.0,6.4226693318640695,0.4882616979607175,0,0,1
002324.SZ,270000000.0,11.19,677.0,3.4513545033333335,0.472524491030249,0,0,0
002325.SZ,460500000.0,16.38,675.0,2.0843911263192183,0.32848857257027936,0,0,0
002327.SZ,160680000.0,35.15,669.0,7.756502977781927,0.26387737557410773,0,0,0
002331.SZ,133910388.0,12.8,665.0,3.995301860524816,0.3737365345921349,0,0,0
002339.SZ,172000000.0,14.31,653.0,4.115900498604651,0.9621272547453009,1,0,1
002340.SZ,579582180.0,11.6,653.0,2.8187061365482284,0.20056846940021292,0,0,0
002344.SZ,560000000.0,25.11,651.0,3.75699814025,0.3005774548391955,0,0,1
002350.SZ,218280000.0,12.61,645.0,3.417528307769837,0.4446370866885974,0,0,0
002352.SZ,77830780.0,20.27,643.0,8.006043740535556,0.18790638550312855,0,0,0
002353.SZ,459272000.0,44.1,643.0,5.329518111032243,0.3801375077907756,0,0,0
002358.SZ,344000000.0,13.01,640.0,2.1386661605813955,0.5916467111202646,1,0,0
002360.SZ,120000000.0,12.39,630.0,4.3919632705,0.1125449280242012,0,0,0
002368.SZ,237094080.0,16.53,623.0,3.6544053603953346,0.1038929598177883,0,0,0
002374.SZ,85600000.0,16.1,619.0,5.271372534696261,26.235765005942465,1,0,0
002375.SZ,635437500.0,25.25,616.0,4.178668222224846,0.5218040768029995,1,0,0
002376.SZ,300000000.0,19.91,616.0,3.3803342133000003,0.21108823485336772,0,0,1
002381.SZ,117000000.0,13.47,608.0,6.96281566,1.8841962082455972,1,0,1
002384.SZ,384000000.0,10.3,604.0,2.897653447890625,0.1013778463201335,0,0,0
002385.SZ,801600000.0,21.34,604.0,3.762349548440618,0.38334348238264343,1,0,0
002391.SZ,205753600.0,16.25,599.0,7.3344950208404605,0.45549794681002503,0,0,0
002396.SZ,351060000.0,16.96,555.0,4.037919071925026,0.46823726475992977,0,0,0
